path,title,id,date,word_count,last_modified
PR_DESCRIPTION.md,Summary,,,76,
RISK_REGISTER.md,🛡️ Risk Register — Sparkfined PWA,,,1072,2025-11-07 09:33:51 +0100
tests/event-test-matrix.md,Testmatrix — Übersicht,,,1199,2025-11-12 04:31:07 +0100
tests/gpt-system-prompt.md,TestMatrixRunner System Prompt,,,1097,2025-11-12 04:31:07 +0100
tests/README.md,Sparkfined Test-Matrix Playbook,,,501,2025-11-12 04:31:07 +0100
events/analyze-bullets-ai.md,Analyze KPI Bullets (AI Proxy),events/analyze-bullets-ai,,634,2025-11-12 00:03:49 +0100
events/index.md,AI Event Inventory,,,66,2025-11-12 00:03:49 +0100
events/teaser-vision-analysis.md,AI Teaser Vision Analyse,events/teaser-vision-analysis,,671,2025-11-12 00:03:49 +0100
events/journal-condense-ai.md,Journal Notiz Verdichten (AI Proxy),events/journal-condense-ai,,674,2025-11-12 00:03:49 +0100
docs/setup/environment-and-providers.md,Environment & Datenprovider Setup,,,297,
docs/setup/build-and-deploy.md,Build & Deployment Leitfaden,,,216,
docs/PR_RUN_SUMMARY.md,PR Run Summary,,,87,
docs/pwa-audit/03_core_flows.md,Core Interaction Flows,,,327,
docs/pwa-audit/02_feature_catalog.md,Feature Catalog,,,544,
docs/pwa-audit/01_repo_index.md,Repo Inventory,,,1747,
docs/pwa-audit/05_security_privacy.md,Security & Privacy Notes,,,281,
docs/pwa-audit/07_future_concepts.md,Future Concepts & Opportunities,,,175,
docs/pwa-audit/04_offline_sync_model.md,Offline & Sync Model,,,328,
docs/pwa-audit/06_tests_observability_gaps.md,Tests & Observability Gaps,,,232,
docs/concepts/journal-system.md,Trading-Journal Spezifikation,,,212,
docs/concepts/signal-orchestrator.md,Signal Orchestrator Konzept,,,301,
docs/concepts/ai-roadmap.md,AI & Cortex Integrationsfahrplan,,,195,
docs/lore/nft-meme-collection-concept.md,SPARKFINED × HERO'S JOURNEY,,,3423,2025-11-10 06:00:58 +0000
docs/lore/x-timeline-posts.md,X (TWITTER) TIMELINE POSTS,,,2164,2025-11-10 06:00:58 +0000
docs/lore/hero-journey-full.md,THE HERO'S JOURNEY × SPARKFINED,,,3042,2025-11-10 06:00:58 +0000
docs/lore/community-posts-templates.md,COMMUNITY POSTS TEMPLATES,,,2484,2025-11-10 06:00:58 +0000
docs/lore/degens-creed.md,THE DEGEN'S CREED,,,2309,2025-11-10 06:00:58 +0000
docs/lore/onboarding-dialogs.md,ONBOARDING DIALOGS,,,2452,2025-11-10 06:00:58 +0000
docs/lore/three-pillars.md,THE THREE PILLARS OF SPARKFINED,,,2181,2025-11-10 06:00:58 +0000
docs/guides/access-tabs.md,Access Page Tab-Guide,,,146,
docs/process/product-overview.md,Produktüberblick & Architektur,,,379,
docs/process/onboarding-blueprint.md,Onboarding Blueprint,,,303,
docs/archive/BUILD_NOTES.md,🔧 PHASE 1 – Build Notes & Fixes,,,1191,2025-11-06 10:18:20 +0000
docs/archive/TABS_ORDER.md,🎯 PHASE 3 – Tabs-Bearbeitungsreihenfolge,,,1414,2025-11-06 10:18:20 +0000
docs/archive/REPOSITORY_ANALYSE_2025-11-07.md,🔍 Repository-Analyse & Bewertung — Sparkfined PWA,,,3512,2025-11-09 16:58:13 +0000
docs/archive/raw/2025-11-12/ONBOARDING_IMPLEMENTATION_COMPLETE.md,Sparkfined PWA - Onboarding System Implementation ✅,,,1280,
docs/archive/raw/2025-11-12/DEXPAPRIKA_MORALIS_CHECKLIST.md,DexPaprika ↔ Moralis Integration — Detaillierte Prüfungs-Checkliste,,,1288,
docs/archive/raw/2025-11-12/PROJEKT_ÜBERSICHT.md,Sparkfined PWA - Projekt-Übersicht,,,2244,
docs/archive/raw/2025-11-12/SETUP_DEXPAPRIKA_MORALIS.md,Setup: DexPaprika (Primary) + Moralis (Server-side Fallback),,,122,
docs/archive/raw/2025-11-12/DEPLOY_CHECKLIST.md,Deployment Checklist — Production Ready,,,1842,
docs/archive/raw/2025-11-12/BUILD_SCRIPTS_EXPLAINED.md,Build Scripts Explained,,,677,
docs/archive/raw/2025-11-12/CORTEX_INTEGRATION_PLAN.md,"Moralis Cortex Integration Plan — ""First Update""",,,3623,
docs/archive/raw/2025-11-12/SIGNAL_UI_INTEGRATION.md,Signal Orchestrator UI Integration - Complete Guide,,,1587,
docs/archive/raw/2025-11-12/ENVIRONMENT_VARIABLES.md,Environment Variables Guide,,,1166,
docs/archive/raw/2025-11-12/DEPLOY_GUIDE.md,Vercel Deployment Guide - Step by Step,,,1934,
docs/archive/raw/2025-11-12/REPO_STRUKTURPLAN_2025.md,🏗️ REPO STRUKTURPLAN 2025,,,7407,
docs/archive/raw/2025-11-12/SIGNAL_ORCHESTRATOR_USE_CASE.md,Signal Orchestrator Use Case: SOL Momentum Breakout,,,975,
docs/archive/raw/2025-11-12/SIGNAL_ORCHESTRATOR_INTEGRATION.md,Signal Orchestrator Integration Guide,,,1330,
docs/archive/raw/2025-11-12/ONBOARDING_QUICK_START.md,Onboarding System - Quick Start Guide,,,814,
docs/archive/raw/2025-11-12/ONBOARDING_STRATEGY.md,Sparkfined PWA - Onboarding & Einführungsstrategie,,,2807,
docs/archive/raw/2025-11-12/JOURNAL_SPECIFICATION.md,Sparkfined Trading Journal – Spezifikation,,,1020,
docs/archive/raw/2025-11-12/ENV_USAGE_OVERVIEW.md,🔧 ENV-Variablen Verwendungszweck,,,738,
docs/archive/raw/2025-11-12/API_KEYS.md,🔑 API Keys & Environment Variables Guide,,,1316,
docs/archive/raw/2025-11-12/ACCESS_PAGE_TAB_IMPROVEMENTS.md,AccessPage Tab Improvements,,,601,
docs/archive/LANDING_PAGE_CONCEPT.md,⚡ Sparkfined Landing Page Concept,,,3075,2025-11-06 10:18:20 +0000
docs/archive/CRYPTOBER_PRÄSENTATION.md,🎯 Sparkfined Präsentationskonzept für cryptober.xyz,,,4339,2025-11-09 16:58:13 +0000
docs/archive/PWA_LOAD_FAILURE_FINAL.md,PWA Load-Failure Root Cause Analysis & Fix Report,,,2232,2025-11-09 16:58:13 +0000
docs/archive/PWA_BLACK_SCREEN_FIX.md,PWA Black Screen Fix,,,691,2025-11-06 10:18:20 +0000
docs/archive/CRYPTOBER_PRESENTER_GUIDE.md,🎤 Sparkfined Presenter's Quick-Reference Guide,,,1352,2025-11-09 16:58:13 +0000
docs/archive/SCAN.md,🔍 PHASE 0 – Repo-Scan & Status Report,,,1686,2025-11-06 10:18:20 +0000
docs/archive/PWA_CHECKLIST.md,✅ PHASE 2 – PWA-Checklist & Installability,,,1640,2025-11-06 10:18:20 +0000
